prices,address,beds,zipcode,lat,long,url,baths,sq_feet
430000.0, 1426 E Cortez St Phoenix AZ 85020 ,3,85020,33.591288,-112.050983,https://www.zillow.com/homedetails/1426-E-Cortez-St-Phoenix-AZ-85020/81951031_zpid/,2,1452
580000.0, 5413 W Fallen Leaf Ln Glendale AZ 85310 ,5,85310,33.711521,-112.176931,https://www.zillow.com/homedetails/5413-W-Fallen-Leaf-Ln-Glendale-AZ-85310/7926325_zpid/,3,3233
339900.0, 4109 W Myrtle Ave Phoenix AZ 85051 ,3,85051,33.54186,-112.147682,https://www.zillow.com/homedetails/4109-W-Myrtle-Ave-Phoenix-AZ-85051/7756591_zpid/,2,1199
649900.0, 2912 W Topeka Dr Phoenix AZ 85027 ,4,85027,33.659742,-112.121933,https://www.zillow.com/homedetails/2912-W-Topeka-Dr-Phoenix-AZ-85027/7934804_zpid/,2,2386
395000.0, 3044 W Sierra Vista Dr Phoenix AZ 85017 ,3,85017,33.532217,-112.12533,https://www.zillow.com/homedetails/3044-W-Sierra-Vista-Dr-Phoenix-AZ-85017/7759465_zpid/,2,2098
489900.0, 2316 W Magdalena Ln Phoenix AZ 85041 ,4,85041,33.371266,-112.109989,https://www.zillow.com/homedetails/2316-W-Magdalena-Ln-Phoenix-AZ-85041/95158576_zpid/,3,2522
375000.0, 4905 S 5th Ave Phoenix AZ 85041 ,3,85041,33.401231,-112.078388,https://www.zillow.com/homedetails/4905-S-5th-Ave-Phoenix-AZ-85041/95185532_zpid/,2,1294
390000.0, 5640 S 8th St Phoenix AZ 85040 ,3,85040,33.394387,-112.062592,https://www.zillow.com/homedetails/5640-S-8th-St-Phoenix-AZ-85040/7525190_zpid/,1,1499
70000.0, 6828 W Pierce St #126 Phoenix AZ 85043 ,3,85043,33.455165,-112.208319,https://www.zillow.com/homedetails/6828-W-Pierce-St-126-Phoenix-AZ-85043/2067834233_zpid/,2,1440
589999.0, 16841 S 13th Pl Phoenix AZ 85048 ,4,85048,33.293082,-112.055186,https://www.zillow.com/homedetails/16841-S-13th-Pl-Phoenix-AZ-85048/8135415_zpid/,2,2134
599900.0, 1032 E El Caminito Dr Phoenix AZ 85020 ,3,85020,33.559107,-112.059477,https://www.zillow.com/homedetails/1032-E-El-Caminito-Dr-Phoenix-AZ-85020/95088679_zpid/,3,2044
471000.0, 4029 W Voltaire Ave Phoenix AZ 85029 ,4,85029,33.608028,-112.145761,https://www.zillow.com/homedetails/4029-W-Voltaire-Ave-Phoenix-AZ-85029/7741899_zpid/,2,2008
1300000.0, 4136 E Glenrosa Ave Phoenix AZ 85018 ,4,85018,33.498911,-111.99177,https://www.zillow.com/homedetails/4136-E-Glenrosa-Ave-Phoenix-AZ-85018/7836236_zpid/,3,2410
259900.0, 1545 E Sahuaro Dr APT 2 Phoenix AZ 85020 ,2,85020,33.584255,-112.048272,https://www.zillow.com/homedetails/1545-E-Sahuaro-Dr-APT-2-Phoenix-AZ-85020/7785439_zpid/,2,984
379900.0, 1707 S 104th Dr Tolleson AZ 85353 ,3,85353,33.430818,-112.28336,https://www.zillow.com/homedetails/1707-S-104th-Dr-Tolleson-AZ-85353/240310226_zpid/,2,1660
420000.0, 4506 W Park St Laveen AZ 85339 ,3,85339,33.380685,-112.15592,https://www.zillow.com/homedetails/4506-W-Park-St-Laveen-AZ-85339/67789360_zpid/,2,1620
449900.0, 8109 W Gibson Ln Phoenix AZ 85043 ,5,85043,33.427788,-112.23457,https://www.zillow.com/homedetails/8109-W-Gibson-Ln-Phoenix-AZ-85043/52423794_zpid/,4,2680
135000.0, 2132 W Glenrosa Ave #C80 Phoenix AZ 85015 ,2,85015,33.499287,-112.105923,https://www.zillow.com/homedetails/2132-W-Glenrosa-Ave-C80-Phoenix-AZ-85015/2067512204_zpid/,2,960
460000.0, 3202 E Emile Zola Ave Phoenix AZ 85032 ,3,85032,33.608125,-112.012935,https://www.zillow.com/homedetails/3202-E-Emile-Zola-Ave-Phoenix-AZ-85032/7819743_zpid/,3,1844
324995.0, 18237 N 34th Dr Phoenix AZ 85053 ,3,85053,33.65234,-112.13242,https://www.zillow.com/homedetails/18237-N-34th-Dr-Phoenix-AZ-85053/7941168_zpid/,2,1222
280000.0, 5042 W Cypress St Phoenix AZ 85035 ,3,85035,33.47305,-112.168808,https://www.zillow.com/homedetails/5042-W-Cypress-St-Phoenix-AZ-85035/7494505_zpid/,2,1169
